year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,3.543556947313393e-5,Cool-water associated ichthyoplankton,CINMS
1979-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
1980-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
1981-01-01T00:00:00Z,7.073882095784732e-5,Cool-water associated ichthyoplankton,CINMS
1982-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
1983-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
1984-01-01T00:00:00Z,3.2732710132018047e-4,Cool-water associated ichthyoplankton,CINMS
1985-01-01T00:00:00Z,2.233453801471516e-5,Cool-water associated ichthyoplankton,CINMS
1986-01-01T00:00:00Z,7.129784922639436e-5,Cool-water associated ichthyoplankton,CINMS
1987-01-01T00:00:00Z,3.700116520107091e-5,Cool-water associated ichthyoplankton,CINMS
1988-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
1989-01-01T00:00:00Z,3.3951572486520165e-5,Cool-water associated ichthyoplankton,CINMS
1990-01-01T00:00:00Z,5.5819503178924656e-5,Cool-water associated ichthyoplankton,CINMS
1991-01-01T00:00:00Z,1.0232157381904698e-4,Cool-water associated ichthyoplankton,CINMS
1992-01-01T00:00:00Z,3.40519084885473e-5,Cool-water associated ichthyoplankton,CINMS
1993-01-01T00:00:00Z,5.683441082807706e-5,Cool-water associated ichthyoplankton,CINMS
1994-01-01T00:00:00Z,5.337235529860855e-6,Cool-water associated ichthyoplankton,CINMS
1995-01-01T00:00:00Z,3.443597319503846e-6,Cool-water associated ichthyoplankton,CINMS
1996-01-01T00:00:00Z,1.6080641896446866e-5,Cool-water associated ichthyoplankton,CINMS
1997-01-01T00:00:00Z,1.154019379701971e-4,Cool-water associated ichthyoplankton,CINMS
1998-01-01T00:00:00Z,9.802029875238638e-5,Cool-water associated ichthyoplankton,CINMS
1999-01-01T00:00:00Z,7.373478482715092e-6,Cool-water associated ichthyoplankton,CINMS
2000-01-01T00:00:00Z,1.802036831140781e-5,Cool-water associated ichthyoplankton,CINMS
2001-01-01T00:00:00Z,2.52262863100314e-5,Cool-water associated ichthyoplankton,CINMS
2002-01-01T00:00:00Z,3.4572109641988517e-6,Cool-water associated ichthyoplankton,CINMS
2003-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
2004-01-01T00:00:00Z,5.540534550773459e-6,Cool-water associated ichthyoplankton,CINMS
2005-01-01T00:00:00Z,5.679830241233751e-6,Cool-water associated ichthyoplankton,CINMS
2006-01-01T00:00:00Z,3.213486018277153e-5,Cool-water associated ichthyoplankton,CINMS
2007-01-01T00:00:00Z,1.4647636457381236e-5,Cool-water associated ichthyoplankton,CINMS
2008-01-01T00:00:00Z,1.7229505664512528e-5,Cool-water associated ichthyoplankton,CINMS
2009-01-01T00:00:00Z,1.5579010193013782e-5,Cool-water associated ichthyoplankton,CINMS
2010-01-01T00:00:00Z,1.8785217463499794e-5,Cool-water associated ichthyoplankton,CINMS
2011-01-01T00:00:00Z,5.5521861271341503e-5,Cool-water associated ichthyoplankton,CINMS
2012-01-01T00:00:00Z,4.870076342555462e-5,Cool-water associated ichthyoplankton,CINMS
2013-01-01T00:00:00Z,2.112167055172437e-5,Cool-water associated ichthyoplankton,CINMS
2014-01-01T00:00:00Z,3.218241173517182e-4,Cool-water associated ichthyoplankton,CINMS
2015-01-01T00:00:00Z,3.395695859795685e-4,Cool-water associated ichthyoplankton,CINMS
2016-01-01T00:00:00Z,1.8616057317035888e-4,Cool-water associated ichthyoplankton,CINMS
2017-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
2018-01-01T00:00:00Z,0,Cool-water associated ichthyoplankton,CINMS
