year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,2.0516187431561712e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1979-01-01T00:00:00Z,4.152257961227737e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1980-01-01T00:00:00Z,2.9345936066314065e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1981-01-01T00:00:00Z,1.0518357671410704e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1982-01-01T00:00:00Z,2.7449543147280926e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1983-01-01T00:00:00Z,3.3266214486448066e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1984-01-01T00:00:00Z,5.521214342119448e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1985-01-01T00:00:00Z,4.3208225546506585e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1986-01-01T00:00:00Z,8.143396709738119e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1987-01-01T00:00:00Z,7.359586714096678e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1988-01-01T00:00:00Z,3.777650140633166e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1989-01-01T00:00:00Z,2.5516677381641424e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1990-01-01T00:00:00Z,4.1481312750921845e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1991-01-01T00:00:00Z,6.022576859598736e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1992-01-01T00:00:00Z,2.382383519287048e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1993-01-01T00:00:00Z,2.9117240451971967e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1994-01-01T00:00:00Z,8.031418474628041e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1995-01-01T00:00:00Z,1.6881187845612012e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1996-01-01T00:00:00Z,9.400211554693573e-5,Cool-water associated ichthyoplankton,SoCal Shelf
1997-01-01T00:00:00Z,4.370861285433562e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1998-01-01T00:00:00Z,5.649296430941499e-4,Cool-water associated ichthyoplankton,SoCal Shelf
1999-01-01T00:00:00Z,3.269142067174686e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2000-01-01T00:00:00Z,2.9944475207374265e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2001-01-01T00:00:00Z,3.992606482570903e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2002-01-01T00:00:00Z,1.4315348386214011e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2003-01-01T00:00:00Z,3.1720265440407455e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2004-01-01T00:00:00Z,6.614782698710167e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2005-01-01T00:00:00Z,7.456420433559316e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2006-01-01T00:00:00Z,5.7495572903441705e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2007-01-01T00:00:00Z,2.9283718512350682e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2008-01-01T00:00:00Z,8.79169240843373e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2009-01-01T00:00:00Z,6.651772576574615e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2010-01-01T00:00:00Z,1.9241755506080776e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2011-01-01T00:00:00Z,4.679978320248862e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2012-01-01T00:00:00Z,1.0626735983839648e-4,Cool-water associated ichthyoplankton,SoCal Shelf
2013-01-01T00:00:00Z,1.2029675200094017e-4,Cool-water associated ichthyoplankton,SoCal Shelf
2014-01-01T00:00:00Z,8.774995572086851e-4,Cool-water associated ichthyoplankton,SoCal Shelf
2015-01-01T00:00:00Z,0.0013045182345619711,Cool-water associated ichthyoplankton,SoCal Shelf
2016-01-01T00:00:00Z,5.039584034769023e-4,Cool-water associated ichthyoplankton,SoCal Shelf
2017-01-01T00:00:00Z,3.6018636282226614e-5,Cool-water associated ichthyoplankton,SoCal Shelf
2018-01-01T00:00:00Z,1.7334522767123575e-4,Cool-water associated ichthyoplankton,SoCal Shelf
