year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,5.88523075350561e-6,Myctophids,CINMS
1979-01-01T00:00:00Z,9.804085195450607e-6,Myctophids,CINMS
1980-01-01T00:00:00Z,0,Myctophids,CINMS
1981-01-01T00:00:00Z,3.897257619606046e-5,Myctophids,CINMS
1982-01-01T00:00:00Z,6.597263455118816e-6,Myctophids,CINMS
1983-01-01T00:00:00Z,1.5235309352956413e-5,Myctophids,CINMS
1984-01-01T00:00:00Z,1.9307448975972025e-5,Myctophids,CINMS
1985-01-01T00:00:00Z,5.609285504111522e-6,Myctophids,CINMS
1986-01-01T00:00:00Z,1.318737087987942e-5,Myctophids,CINMS
1987-01-01T00:00:00Z,4.615103108495086e-6,Myctophids,CINMS
1988-01-01T00:00:00Z,3.927561538192933e-6,Myctophids,CINMS
1989-01-01T00:00:00Z,5.978098501005352e-6,Myctophids,CINMS
1990-01-01T00:00:00Z,2.5145752294523667e-5,Myctophids,CINMS
1991-01-01T00:00:00Z,1.0602112973580551e-5,Myctophids,CINMS
1992-01-01T00:00:00Z,1.1219991919643918e-5,Myctophids,CINMS
1993-01-01T00:00:00Z,5.03915967072962e-6,Myctophids,CINMS
1994-01-01T00:00:00Z,6.09319903819168e-6,Myctophids,CINMS
1995-01-01T00:00:00Z,1.287103161961983e-6,Myctophids,CINMS
1996-01-01T00:00:00Z,9.454439764176412e-6,Myctophids,CINMS
1997-01-01T00:00:00Z,1.4518103494333293e-6,Myctophids,CINMS
1998-01-01T00:00:00Z,1.7748551460864173e-5,Myctophids,CINMS
1999-01-01T00:00:00Z,0,Myctophids,CINMS
2000-01-01T00:00:00Z,0,Myctophids,CINMS
2001-01-01T00:00:00Z,6.231834203297388e-6,Myctophids,CINMS
2002-01-01T00:00:00Z,0,Myctophids,CINMS
2003-01-01T00:00:00Z,0,Myctophids,CINMS
2004-01-01T00:00:00Z,3.355344392548451e-6,Myctophids,CINMS
2005-01-01T00:00:00Z,0,Myctophids,CINMS
2006-01-01T00:00:00Z,1.7936653479639026e-6,Myctophids,CINMS
2007-01-01T00:00:00Z,0,Myctophids,CINMS
2008-01-01T00:00:00Z,0,Myctophids,CINMS
2009-01-01T00:00:00Z,4.184744764047351e-6,Myctophids,CINMS
2010-01-01T00:00:00Z,0,Myctophids,CINMS
2011-01-01T00:00:00Z,6.627459530214959e-6,Myctophids,CINMS
2012-01-01T00:00:00Z,4.284265177780102e-6,Myctophids,CINMS
2013-01-01T00:00:00Z,7.031420172973247e-6,Myctophids,CINMS
2014-01-01T00:00:00Z,2.3410077841702578e-5,Myctophids,CINMS
2015-01-01T00:00:00Z,1.7962798461118978e-5,Myctophids,CINMS
2016-01-01T00:00:00Z,2.6980573140618982e-5,Myctophids,CINMS
2017-01-01T00:00:00Z,0,Myctophids,CINMS
2018-01-01T00:00:00Z,8.093758093758094e-6,Myctophids,CINMS
