year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,4.454274969891026e-4,Sanddab,CINMS
1979-01-01T00:00:00Z,1.2351921239485476e-4,Sanddab,CINMS
1980-01-01T00:00:00Z,1.531626915703718e-4,Sanddab,CINMS
1981-01-01T00:00:00Z,4.997864724356199e-4,Sanddab,CINMS
1982-01-01T00:00:00Z,9.893121560533147e-5,Sanddab,CINMS
1983-01-01T00:00:00Z,1.0059334276826152e-4,Sanddab,CINMS
1984-01-01T00:00:00Z,2.8348764674490006e-4,Sanddab,CINMS
1985-01-01T00:00:00Z,6.996549608900671e-4,Sanddab,CINMS
1986-01-01T00:00:00Z,3.689790574269916e-4,Sanddab,CINMS
1987-01-01T00:00:00Z,1.7800867042217026e-4,Sanddab,CINMS
1988-01-01T00:00:00Z,0.0011646169173787225,Sanddab,CINMS
1989-01-01T00:00:00Z,6.969874929375796e-4,Sanddab,CINMS
1990-01-01T00:00:00Z,4.1189736092456616e-4,Sanddab,CINMS
1991-01-01T00:00:00Z,8.833027817937122e-4,Sanddab,CINMS
1992-01-01T00:00:00Z,1.7913660212176048e-4,Sanddab,CINMS
1993-01-01T00:00:00Z,0.0018258576106246452,Sanddab,CINMS
1994-01-01T00:00:00Z,0.0010008377178351477,Sanddab,CINMS
1995-01-01T00:00:00Z,0.0010583047950612598,Sanddab,CINMS
1996-01-01T00:00:00Z,7.137277471122881e-4,Sanddab,CINMS
1997-01-01T00:00:00Z,1.0672792198466385e-4,Sanddab,CINMS
1998-01-01T00:00:00Z,2.3331515033579616e-4,Sanddab,CINMS
1999-01-01T00:00:00Z,3.1570088367877894e-4,Sanddab,CINMS
2000-01-01T00:00:00Z,7.581868517171871e-4,Sanddab,CINMS
2001-01-01T00:00:00Z,0.001516874040251926,Sanddab,CINMS
2002-01-01T00:00:00Z,1.0933341542987812e-4,Sanddab,CINMS
2003-01-01T00:00:00Z,1.0585703297559731e-4,Sanddab,CINMS
2004-01-01T00:00:00Z,5.332410695604867e-4,Sanddab,CINMS
2005-01-01T00:00:00Z,1.2124672308671359e-4,Sanddab,CINMS
2006-01-01T00:00:00Z,8.045873259919327e-5,Sanddab,CINMS
2007-01-01T00:00:00Z,1.3843277872825833e-4,Sanddab,CINMS
2008-01-01T00:00:00Z,2.1315201214647735e-4,Sanddab,CINMS
2009-01-01T00:00:00Z,6.403406749637922e-4,Sanddab,CINMS
2010-01-01T00:00:00Z,0.0023986270402445715,Sanddab,CINMS
2011-01-01T00:00:00Z,0.003358617437619554,Sanddab,CINMS
2012-01-01T00:00:00Z,0.011966724087784568,Sanddab,CINMS
2013-01-01T00:00:00Z,0.00514063142693756,Sanddab,CINMS
2014-01-01T00:00:00Z,0.003461859236943909,Sanddab,CINMS
2015-01-01T00:00:00Z,0.002408843186539201,Sanddab,CINMS
2016-01-01T00:00:00Z,5.165409244608095e-4,Sanddab,CINMS
2017-01-01T00:00:00Z,2.3134717121677204e-4,Sanddab,CINMS
2018-01-01T00:00:00Z,0,Sanddab,CINMS
