year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,0.0020475020475020475,Sardine,CINMS
1979-01-01T00:00:00Z,0,Sardine,CINMS
1980-01-01T00:00:00Z,0,Sardine,CINMS
1981-01-01T00:00:00Z,3.704793348806294e-4,Sardine,CINMS
1982-01-01T00:00:00Z,0,Sardine,CINMS
1983-01-01T00:00:00Z,2.928000468480075e-4,Sardine,CINMS
1984-01-01T00:00:00Z,0.013140394510244057,Sardine,CINMS
1985-01-01T00:00:00Z,0.07153823109328505,Sardine,CINMS
1986-01-01T00:00:00Z,0.009487767509982072,Sardine,CINMS
1987-01-01T00:00:00Z,0.13081119230490096,Sardine,CINMS
1988-01-01T00:00:00Z,0.04194118423846953,Sardine,CINMS
1989-01-01T00:00:00Z,0.06272019017332608,Sardine,CINMS
1990-01-01T00:00:00Z,0.09325965380088722,Sardine,CINMS
1991-01-01T00:00:00Z,0.08185599302536367,Sardine,CINMS
1992-01-01T00:00:00Z,0.02427676579677154,Sardine,CINMS
1993-01-01T00:00:00Z,0.04890126031909368,Sardine,CINMS
1994-01-01T00:00:00Z,0.01806285535866915,Sardine,CINMS
1995-01-01T00:00:00Z,4.146531809796522e-4,Sardine,CINMS
1996-01-01T00:00:00Z,0.05585571707898624,Sardine,CINMS
1997-01-01T00:00:00Z,0.20373703859496153,Sardine,CINMS
1998-01-01T00:00:00Z,0.1142095356034616,Sardine,CINMS
1999-01-01T00:00:00Z,0.005726677686999704,Sardine,CINMS
2000-01-01T00:00:00Z,0.013827809407439788,Sardine,CINMS
2001-01-01T00:00:00Z,0,Sardine,CINMS
2002-01-01T00:00:00Z,0.022028636485147163,Sardine,CINMS
2003-01-01T00:00:00Z,0.010410547975222804,Sardine,CINMS
2004-01-01T00:00:00Z,0.004464285714285714,Sardine,CINMS
2005-01-01T00:00:00Z,0.004511664053882056,Sardine,CINMS
2006-01-01T00:00:00Z,0.0057963827370751,Sardine,CINMS
2007-01-01T00:00:00Z,0,Sardine,CINMS
2008-01-01T00:00:00Z,0.01201923076923077,Sardine,CINMS
2009-01-01T00:00:00Z,0.008169532639840191,Sardine,CINMS
2010-01-01T00:00:00Z,1.3347243339162853e-4,Sardine,CINMS
2011-01-01T00:00:00Z,0.17910398564076654,Sardine,CINMS
2012-01-01T00:00:00Z,0.0015530491363903727,Sardine,CINMS
2013-01-01T00:00:00Z,6.784478165518934e-4,Sardine,CINMS
2014-01-01T00:00:00Z,0.007057836528056384,Sardine,CINMS
2015-01-01T00:00:00Z,0.003110277377166028,Sardine,CINMS
2016-01-01T00:00:00Z,3.715271212073692e-4,Sardine,CINMS
2017-01-01T00:00:00Z,0.024973214392462445,Sardine,CINMS
2018-01-01T00:00:00Z,0.004058069681250208,Sardine,CINMS
