year,avg_larvae_count_per_volume_sampled,spp_grp,ply_code
1978-01-01T00:00:00Z,0.006882168553389276,Warm-water associated ichthyoplankton,SoCal Shelf
1979-01-01T00:00:00Z,0.004478160140977375,Warm-water associated ichthyoplankton,SoCal Shelf
1980-01-01T00:00:00Z,0.001876838859270522,Warm-water associated ichthyoplankton,SoCal Shelf
1981-01-01T00:00:00Z,0.008270333754456105,Warm-water associated ichthyoplankton,SoCal Shelf
1982-01-01T00:00:00Z,0.005670473902553388,Warm-water associated ichthyoplankton,SoCal Shelf
1983-01-01T00:00:00Z,0.0032239935141733043,Warm-water associated ichthyoplankton,SoCal Shelf
1984-01-01T00:00:00Z,0.006027162073952964,Warm-water associated ichthyoplankton,SoCal Shelf
1985-01-01T00:00:00Z,0.0025054442747934756,Warm-water associated ichthyoplankton,SoCal Shelf
1986-01-01T00:00:00Z,0.002598121216698723,Warm-water associated ichthyoplankton,SoCal Shelf
1987-01-01T00:00:00Z,0.0015440005238762683,Warm-water associated ichthyoplankton,SoCal Shelf
1988-01-01T00:00:00Z,0.0021948654183684855,Warm-water associated ichthyoplankton,SoCal Shelf
1989-01-01T00:00:00Z,9.279407232442224e-4,Warm-water associated ichthyoplankton,SoCal Shelf
1990-01-01T00:00:00Z,0.0016168083158124764,Warm-water associated ichthyoplankton,SoCal Shelf
1991-01-01T00:00:00Z,0.0027623073406049395,Warm-water associated ichthyoplankton,SoCal Shelf
1992-01-01T00:00:00Z,0.00268422858960082,Warm-water associated ichthyoplankton,SoCal Shelf
1993-01-01T00:00:00Z,0.00365977128991344,Warm-water associated ichthyoplankton,SoCal Shelf
1994-01-01T00:00:00Z,0.0026601015760622467,Warm-water associated ichthyoplankton,SoCal Shelf
1995-01-01T00:00:00Z,0.0010473157484654047,Warm-water associated ichthyoplankton,SoCal Shelf
1996-01-01T00:00:00Z,0.0031642867458501487,Warm-water associated ichthyoplankton,SoCal Shelf
1997-01-01T00:00:00Z,0.0021889032259541684,Warm-water associated ichthyoplankton,SoCal Shelf
1998-01-01T00:00:00Z,0.0017332577752335633,Warm-water associated ichthyoplankton,SoCal Shelf
1999-01-01T00:00:00Z,0.0022100399497732835,Warm-water associated ichthyoplankton,SoCal Shelf
2000-01-01T00:00:00Z,0.0015448431901144066,Warm-water associated ichthyoplankton,SoCal Shelf
2001-01-01T00:00:00Z,0.0014210404919507904,Warm-water associated ichthyoplankton,SoCal Shelf
2002-01-01T00:00:00Z,0.014109441518290307,Warm-water associated ichthyoplankton,SoCal Shelf
2003-01-01T00:00:00Z,0.003422988679567335,Warm-water associated ichthyoplankton,SoCal Shelf
2004-01-01T00:00:00Z,0.005332974305488523,Warm-water associated ichthyoplankton,SoCal Shelf
2005-01-01T00:00:00Z,0.0012117561278833571,Warm-water associated ichthyoplankton,SoCal Shelf
2006-01-01T00:00:00Z,0.001777993530264516,Warm-water associated ichthyoplankton,SoCal Shelf
2007-01-01T00:00:00Z,0.0011822201177238648,Warm-water associated ichthyoplankton,SoCal Shelf
2008-01-01T00:00:00Z,0.001983607276551472,Warm-water associated ichthyoplankton,SoCal Shelf
2009-01-01T00:00:00Z,0.0025844171499602533,Warm-water associated ichthyoplankton,SoCal Shelf
2010-01-01T00:00:00Z,0.0021599618981721098,Warm-water associated ichthyoplankton,SoCal Shelf
2011-01-01T00:00:00Z,0.0030436722475141683,Warm-water associated ichthyoplankton,SoCal Shelf
2012-01-01T00:00:00Z,0.003131938182744115,Warm-water associated ichthyoplankton,SoCal Shelf
2013-01-01T00:00:00Z,0.005208189203442879,Warm-water associated ichthyoplankton,SoCal Shelf
2014-01-01T00:00:00Z,0.004055396877880316,Warm-water associated ichthyoplankton,SoCal Shelf
2015-01-01T00:00:00Z,0.004879476821989784,Warm-water associated ichthyoplankton,SoCal Shelf
2016-01-01T00:00:00Z,0.0057602692929691396,Warm-water associated ichthyoplankton,SoCal Shelf
2017-01-01T00:00:00Z,0.006297118471743195,Warm-water associated ichthyoplankton,SoCal Shelf
2018-01-01T00:00:00Z,0.006461459477532311,Warm-water associated ichthyoplankton,SoCal Shelf
