common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Abralia,NA (_Abralia_),82406,9555,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abralia trigonura,NA (_Abralia trigonura_),556021,9556,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis,NA (_Abraliopsis_),82398,9560,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis affinis,NA (_Abraliopsis affinis_),82402,9559,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis felis,NA (_Abraliopsis felis_),82401,9561,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis sp A,NA (_Abraliopsis sp A_),82398,9562,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis sp B,NA (_Abraliopsis sp B_),82398,9563,44500,erdCalCOFIlrvcntAtoAM.csv
Sergeant majors,Abudefduf,Sergeant majors (_Abudefduf_),170045,623,44500,erdCalCOFIlrvcntAtoAM.csv
Wahoo,Acanthocybium solandri,Wahoo (_Acanthocybium solandri_),172451,576,44500,erdCalCOFIlrvcntAtoAM.csv
Surgeonfishes,Acanthuridae,Surgeonfishes (_Acanthuridae_),172250,585,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Acanthurus,NA (_Acanthurus_),172251,2190,44500,erdCalCOFIlrvcntAtoAM.csv
Convict surgeonfish,Acanthurus triostegus,Convict surgeonfish (_Acanthurus triostegus_),172270,588,44500,erdCalCOFIlrvcntAtoAM.csv
Pacific lined sole,Achirus mazatlanus,Pacific lined sole (_Achirus mazatlanus_),172989,969,44500,erdCalCOFIlrvcntAtoAM.csv
Poachers,Agonidae,Poachers (_Agonidae_),167426,760,44500,erdCalCOFIlrvcntAtoAM.csv
Southern spearnose,Agonopsis sterletus,Southern spearnose (_Agonopsis sterletus_),167431,766,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Ahliesaurus brevis,NA (_Ahliesaurus brevis_),644705,1200,44500,erdCalCOFIlrvcntAtoAM.csv
Giant grenadier,Albatrossia pectoralis,Giant grenadier (_Albatrossia pectoralis_),165341,896,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Albula,NA (_Albula_),161120,7,44500,erdCalCOFIlrvcntAtoAM.csv
Longnose lancetfish,Alepisaurus ferox,Longnose lancetfish (_Alepisaurus ferox_),162527,211,44500,erdCalCOFIlrvcntAtoAM.csv
Slickheads,Alepocephalidae,Slickheads (_Alepocephalidae_),162303,35,44500,erdCalCOFIlrvcntAtoAM.csv
Island kelpfish,Alloclinus holderi,Island kelpfish (_Alloclinus holderi_),171465,828,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Amarsipus carlsbergi,NA (_Amarsipus carlsbergi_),642535,534,44500,erdCalCOFIlrvcntAtoAM.csv
Pacific sand lance,Ammodytes hexapterus,Pacific sand lance (_Ammodytes hexapterus_),171672,881,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Ammodytoides gilli,NA (_Ammodytoides gilli_),630395,884,44500,erdCalCOFIlrvcntAtoAM.csv
Pyle's sandlance,Ammodytoides pylei,Pyle's sandlance (_Ammodytoides pylei_),630417,1969,44500,erdCalCOFIlrvcntAtoAM.csv
Wolf-eel,Anarrichthys ocellatus,Wolf-eel (_Anarrichthys ocellatus_),633876,862,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Anchoa,NA (_Anchoa_),161837,26,76143,erdCalCOFIlrvcntANtoAR.csv
Eels,Anguilliformes,Eels (_Anguilliformes_),161123,355,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Anisotremus,NA (_Anisotremus_),169080,602,76143,erdCalCOFIlrvcntANtoAR.csv
Sargo,Anisotremus davidsoni,Sargo (_Anisotremus davidsoni_),169087,601,76143,erdCalCOFIlrvcntANtoAR.csv
High cockscomb,Anoplarchus purpurescens,High cockscomb (_Anoplarchus purpurescens_),171564,847,76143,erdCalCOFIlrvcntANtoAR.csv
Sablefish (blackcod),Anoplopoma fimbria,Sablefish (blackcod) (_Anoplopoma fimbria_),167123,711,76143,erdCalCOFIlrvcntANtoAR.csv
Daggertooth,Anotopterus pharao,Daggertooth (_Anotopterus pharao_),162534,326,76143,erdCalCOFIlrvcntANtoAR.csv
Frogfishes,Antennariidae,Frogfishes (_Antennariidae_),164518,980,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Antennarius,NA (_Antennarius_),164522,981,76143,erdCalCOFIlrvcntANtoAR.csv
Roughjaw frogfish,Antennarius avalonis,Roughjaw frogfish (_Antennarius avalonis_),164529,977,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Anthiinae,NA (_Anthiinae_),167675,435,76143,erdCalCOFIlrvcntANtoAR.csv
Pacific black scabbardfish,Aphanopus arigato,Pacific black scabbardfish (_Aphanopus arigato_),646749,2240,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Apogon,NA (_Apogon_),168197,444,76143,erdCalCOFIlrvcntANtoAR.csv
Plain cardinalfish,Apogon atricaudus,Plain cardinalfish (_Apogon atricaudus_),642065,459,76143,erdCalCOFIlrvcntANtoAR.csv
Guadalupe Cardinalfish,Apogon guadalupensis,Guadalupe Cardinalfish (_Apogon guadalupensis_),168211,1630,76143,erdCalCOFIlrvcntANtoAR.csv
Barspot cardinalfish,Apogon retrosella,Barspot cardinalfish (_Apogon retrosella_),168278,462,76143,erdCalCOFIlrvcntANtoAR.csv
Cardinalfishes,Apogonidae,Cardinalfishes (_Apogonidae_),168196,445,76143,erdCalCOFIlrvcntANtoAR.csv
Ribbon barracudina,Arctozenus risso,Ribbon barracudina (_Arctozenus risso_),644687,317,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Argentina,NA (_Argentina_),162061,57,76143,erdCalCOFIlrvcntANtoAR.csv
Pacific argentine,Argentina sialis,Pacific argentine (_Argentina sialis_),162068,56,76143,erdCalCOFIlrvcntANtoAR.csv
Argentines,Argentinidae,Argentines (_Argentinidae_),162057,55,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Argyropelecus,NA (_Argyropelecus_),162213,101,76143,erdCalCOFIlrvcntANtoAR.csv
Slender hatchetfish,Argyropelecus affinis,Slender hatchetfish (_Argyropelecus affinis_),162216,103,76143,erdCalCOFIlrvcntANtoAR.csv
Spurred hatchetfish,Argyropelecus hemigymnus,Spurred hatchetfish (_Argyropelecus hemigymnus_),162219,104,76143,erdCalCOFIlrvcntANtoAR.csv
Tropical hatchetfish,Argyropelecus lychnus,Tropical hatchetfish (_Argyropelecus lychnus_),162214,102,76143,erdCalCOFIlrvcntANtoAR.csv
Lowcrest hatchetfish,Argyropelecus sladeni,Lowcrest hatchetfish (_Argyropelecus sladeni_),162221,105,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Ariosoma,NA (_Ariosoma_),161343,1030,76143,erdCalCOFIlrvcntANtoAR.csv
Gilbert's conger,Ariosoma gilberti,Gilbert's conger (_Ariosoma gilberti_),635894,359,76143,erdCalCOFIlrvcntANtoAR.csv
Large-eye conger eel,Ariosoma marginatum,Large-eye conger eel (_Ariosoma marginatum_),635690,1031,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Aristostomias,NA (_Aristostomias_),162273,1170,76143,erdCalCOFIlrvcntANtoAR.csv
Shiny loosejaw,Aristostomias scintillans,Shiny loosejaw (_Aristostomias scintillans_),162274,151,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Artedius,NA (_Artedius_),167211,737,76143,erdCalCOFIlrvcntANtoAR.csv
Padded sculpin,Artedius fenestralis,Padded sculpin (_Artedius fenestralis_),167212,745,76143,erdCalCOFIlrvcntANtoAR.csv
Scalyhead sculpin,Artedius harringtoni,Scalyhead sculpin (_Artedius harringtoni_),167213,738,76143,erdCalCOFIlrvcntANtoAR.csv
Smoothhead sculpin,Artedius lateralis,Smoothhead sculpin (_Artedius lateralis_),167214,748,76143,erdCalCOFIlrvcntANtoAR.csv
Rosylip sculpin,Ascelichthys rhodorus,Rosylip sculpin (_Ascelichthys rhodorus_),167218,732,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Aseraggodes,NA (_Aseraggodes_),172996,2311,76143,erdCalCOFIlrvcntAStoBA.csv
Razorback scabbardfish,Assurger anzac,Razorback scabbardfish (_Assurger anzac_),172397,2245,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Astronesthes,NA (_Astronesthes_),162234,113,76143,erdCalCOFIlrvcntAStoBA.csv
Snaggletooths,Astronesthinae,Snaggletooths (_Astronesthinae_),622316,110,76143,erdCalCOFIlrvcntAStoBA.csv
Arrowtooth flounder,Atheresthes stomias,Arrowtooth flounder (_Atheresthes stomias_),172862,959,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Atherinella,NA (_Atherinella_),630593,172,76143,erdCalCOFIlrvcntAStoBA.csv
Topsmelt,Atherinops affinis,Topsmelt (_Atherinops affinis_),165986,171,76143,erdCalCOFIlrvcntAStoBA.csv
Silversides,Atherinopsidae,Silversides (_Atherinopsidae_),630579,470,76143,erdCalCOFIlrvcntAStoBA.csv
Jacksmelt,Atherinopsis californiensis,Jacksmelt (_Atherinopsis californiensis_),166012,173,76143,erdCalCOFIlrvcntAStoBA.csv
White seabass,Atractoscion nobilis,White seabass (_Atractoscion nobilis_),169387,609,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Aulopus,NA (_Aulopus_),162370,201,76143,erdCalCOFIlrvcntAStoBA.csv
Eastern Pacific flagfin,Aulopus bajacali,Eastern Pacific flagfin (_Aulopus bajacali_),644741,1185,76143,erdCalCOFIlrvcntAStoBA.csv
Tubesnout,Aulorhynchus flavidus,Tubesnout (_Aulorhynchus flavidus_),166404,794,76143,erdCalCOFIlrvcntAStoBA.csv
