group,common_name,scientific_name
Anchovy,Anchoveta,Cetengraulis mysticetus
Anchovy,Anchovies,Engraulidae
Anchovy,Buccaneer anchovy,Encrasicholina punctifer
Anchovy,Northern anchovy,Engraulis mordax
Sardine,Pacific sardine (pilchard),Sardinops sagax
Cool-water associated ichthyoplankton,Mexican lampfish,Triphoturus mexicanus
Cool-water associated ichthyoplankton,Lightfishes,Phosichthyidae
Cool-water associated ichthyoplankton,Panama lightfish,Vinciguerria lucetia
Cool-water associated ichthyoplankton,Oceanic lightfish,Vinciguerria nimbaria
Cool-water associated ichthyoplankton,Highseas lightfish,Vinciguerria poweriae
Cool-water associated ichthyoplankton,Bigeye lightfish,Woodsia nonsuchae
Cool-water associated ichthyoplankton,Bulldog lightfish,Ichthyococcus irregularis
Cool-water associated ichthyoplankton,Snubnose blacksmelt,Bathylagoides wesethi
Cool-water associated ichthyoplankton,Diogenes lanternfish,Diogenichthys laternatus
Cool-water associated ichthyoplankton,California lanternfish,Symbolophorus californiensis
Cool-water associated ichthyoplankton,Dogtooth lampfish,Ceratoscopelus townsendi
Warm-water associated ichthyoplankton,Blue lanternfish,Tarletonbeania crenularis
Warm-water associated ichthyoplankton,Northern lampfish,Stenobrachius leucopsarus
Warm-water associated ichthyoplankton,California smoothtongue,Leuroglossus stilbius
Warm-water associated ichthyoplankton,California flashlightfish,Protomyctophum crockeri
Warm-water associated ichthyoplankton,Popeye blacksmelt,Lipolagus ochotensis
Hake,Hakes,Merlucciidae
Hake,Dwarf hake,Merluccius
Hake,Pacific hake or whiting,Merluccius productus
Rockfish,Rockfishes,Sebastes
Rockfish,Aurora rockfish,Sebastes aurora
Rockfish,Splitnose rockfish,Sebastes diploproa
Rockfish,Shortbelly rockfish,Sebastes jordani
Rockfish,Cow rockfish (cowcod),Sebastes levis
Rockfish,Mexican rockfish,Sebastes macdonaldi
Rockfish,Blackgill rockfish,Sebastes melanostomus
Rockfish,Stripetail rockfish,Sebastes saxicola
Myctophids,Bermuda lanternfish,Hygophum hygomii
Myctophids,Blue lanternfish,Tarletonbeania crenularis
Myctophids,California lanternfish,Symbolophorus californiensis
Myctophids,Diogenes lanternfish,Diogenichthys laternatus
Myctophids,Dwarf lanternfish,Loweina rara
Myctophids,Evermann's lanternfish,Symbolophorus evermanni
Myctophids,Golden lanternfish,Myctophum aurolaternatum
Myctophids,Lanternfish,Notoscopelus caudispinosus
Myctophids,Lanternfishes,Myctophidae
Myctophids,Longfin lanternfish,Diogenichthys atlanticus
Myctophids,NA,Myctophiformes
Myctophids,NA,Myctophum
Myctophids,NA,Myctophum asperum
Myctophids,NA,Myctophum lychnobium
Myctophids,NA,Myctophum obtusirostre
Myctophids,NA,Myctophum selenops
Myctophids,NA,Myctophum spinosum
Myctophids,NA,Protomyctophum
Myctophids,Northern flashlightfish,Protomyctophum thompsoni
Myctophids,Panama lanternfish,Benthosema panamense
Myctophids,Pearly lanternfish,Myctophum nitidulum
Myctophids,Roundnose lanternfish,Centrobranchus nigroocellatus
Myctophids,Slender lanternfish,Hygophum reinhardtii
Myctophids,Slendertail lanternfish,Gonichthys tenuiculus
Myctophids,Spinycheek lanternfish,Benthosema fibulatum
Myctophids,Thickhead lanternfish,Hygophum atratum
Sanddab,Sanddabs,Citharichthys
Sanddab,Gulf sanddab,Citharichthys fragilis
Sanddab,Mimic sanddab,Citharichthys gordae
Sanddab,Small sanddab,Citharichthys platophrys
Sanddab,Pacific sanddab,Citharichthys sordidus
Sanddab,Speckled sanddab,Citharichthys stigmaeus
Sanddab,Longfin sanddab,Citharichthys xanthostigma
