SCIENTIFIC NAME,COMMON NAME,RANK,GRP,NRSHORE,REGION,DEPTH,BOTTOM,FISHED,Taxonomic history,Used name
Engraulis mordax,Northern anchovy,1,2,,4,,13,14,1951-,always
Merluccius productus,Pacific hake or whiting,2,2,,1.5,,13,14,1951-,always
Leuroglossus stilbius,California smoothtongue,3,2,,1.5,,13,16,1951-,always
Sebastes spp.,Rockfishes,4,1,0,0,,0,14,1951-,always
Vinciguerria lucetia,Panama lightfish,5,3,,23,7,13,16,1951-,always
Stenobrachius leucopsarus,Northern lampfish,6,3,,22,7,13,16,1951-,always
Sardinops sagax,Pacific sardine (pilchard),7,2,,4,,13,14,1951-,always
Trachurus symmetricus,Jack mackerel,8,2,,4,,13,14,1951-,always
Sebastes jordani,Shortbelly rockfish,9,1,2,1.5,,13,15,1951-,always
Bathylagus ochotensis,Popeye blacksmelt,10,3,,22,8,13,16,1951-,always
Triphoturus mexicanus,Mexican lampfish,11,3,,23,7,13,16,1951-,always
Bathylagus wesethi,Snubnose blacksmelt,12,3,,22,8,13,16,1951-,always
Sciaenidae,Croakers,13,1,0,2.5,,11,14,1951-,always
Protomyctophum crockeri,California flashlightfish,14,3,,22,7,13,16,1951-,always
Ceratoscopelus townsendi,Dogtooth lampfish,15,3,,22,7,13,16,1951-,always
Citharichthys stigmaeus,Speckled sanddab,16,1,1,1.5,,12,15,1954-,Citharichthys spp.
Nannobrachium ritteri,Broadfin lampfish,17,3,,23,7,13,16,1954-,Nannobrachium spp.
Tarletonbeania crenularis,Blue lanternfish,18,3,,22,7,13,16,1951-,always
Diogenichthys atlanticus,Longfin lanternfish,19,3,,21,8,13,16,1951-,always
Symbolophorus californiensis,California lanternfish,20,3,,22,7,13,16,1951-,always
Citharichthys spp.,Sanddabs,21,1,0,1.5,,12,0,1951-,always
Scomber japonicus,Pacific chub mackerel (Pacific mackerel),22,2,,4,,13,14,1951-,always
Sebastes paucispinis,Bocaccio,23,1,2,1.5,,13,14,1951-,always
Cyclothone signata,Showy bristlemouth,24,3,,22,7,13,16,1985-,Cyclothone spp.
Nannobrachium spp.,,25,3,,21,7,13,16,1951-,always
Citharichthys sordidus,Pacific sanddab,26,1,2,1.5,,12,14,1954-1960 and 1984-,Citharichthys spp.
Diaphus spp.,Headlightfishes,27,3,,21,7,13,16,1951-,always
Genyonemus lineatus,White croaker,28,1,2,1.5,,12,14,1981-,Sciaenidae
Disintegrated fish larvae,,29,0,,,,,,1951-,always
Cyclothone spp.,,30,3,,21,0,13,16,1951-,always
Vinciguerria poweriae,Highseas lightfish,31,3,,21,7,13,16,1951-,always
Unidentified,,32,0,,,,,,1951-,always
Icichthys lockingtoni,Medusafish,33,2,,1.5,,13,16,1951-,always
Melamphaes spp.,,34,3,,21,8,13,16,1951-,always
Sebastes diploproa,Splitnose rockfish,35,1,2,1.5,,12,14,1951-1969 and 1987-,Sebastes spp.
Idiacanthus antrostomus,Pacific blackdragon,36,3,,22,8,13,16,1951-,always
Myctophidae,Lanternfishes,37,3,,21,0,13,16,1951-,always
Argentina sialis,Pacific argentine,38,1,2,1.5,,13,16,1951-,always
